                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2166,                 3.7776,                 1.1613,                0.66221,                  0.033,                0.07132,                0.05231,                  1.057,                 3.2702,                 1.0556,                 0.0704,              0.0032889,              0.0032889
                      1,                  1.255,                  2.765,                   1.16,                0.42783,                0.13999,                0.07639,                0.05248,                 1.2134,                 2.6047,                 1.1675,               0.040334,              0.0065567,              0.0065567
                      2,                 1.2868,                 2.5902,                 1.1774,                0.46466,                0.12578,                0.06363,                 0.0409,                 1.3085,                 2.6738,                 1.2085,               0.010203,              0.0097584,              0.0097584
                      3,                 1.3982,                 2.6126,                 1.2143,                0.41946,                0.14868,                0.08058,                0.05484,                 1.4411,                 3.0703,                 1.3019,               0.009703,               0.009703,               0.009703
                      4,                 1.3971,                 2.5362,                 1.2146,                0.26441,                  0.128,                0.07371,                0.04748,                 1.4744,                 2.6844,                 1.3153,               0.009703,               0.009703,               0.009703
                      5,                 1.3857,                 2.4398,                 1.2163,                0.42352,                0.12855,                0.08395,                0.05391,                 1.3965,                 3.3264,                 1.2782,               0.009604,               0.009604,               0.009604
                      6,                 1.3729,                 2.3838,                  1.219,                0.58463,                 0.1109,                0.07258,                0.04453,                 1.4139,                 2.6976,                 1.2874,               0.009505,               0.009505,               0.009505
                      7,                 1.3636,                 2.3382,                  1.214,                0.48613,                0.16092,                0.08608,                0.05614,                 1.3999,                 2.5754,                 1.2712,               0.009406,               0.009406,               0.009406
                      8,                 1.3742,                  2.272,                 1.2196,                 0.3061,                0.16989,                0.08921,                0.05472,                 1.3332,                 2.3855,                 1.2467,               0.009307,               0.009307,               0.009307
                      9,                 1.3161,                 2.2478,                 1.1914,                0.25833,                0.15959,                0.09289,                0.06178,                 1.3242,                 2.4839,                 1.2565,               0.009208,               0.009208,               0.009208
                     10,                 1.3241,                 2.1811,                 1.2021,                 0.2514,                0.21142,                0.13294,                0.08562,                 1.2787,                 2.1397,                 1.2503,               0.009109,               0.009109,               0.009109
                     11,                 1.3158,                 2.1387,                 1.1966,                 0.2909,                0.16029,                0.10287,                0.06823,                 1.3325,                 2.2498,                 1.2446,                0.00901,                0.00901,                0.00901
                     12,                 1.2654,                  2.079,                 1.1719,                0.48566,                0.17413,                   0.09,                0.05584,                 1.3057,                 2.5732,                 1.2431,               0.008911,               0.008911,               0.008911
                     13,                 1.2612,                 2.0441,                 1.1641,                0.31131,                0.18268,                0.10337,                0.06643,                 1.2888,                 2.1511,                 1.2418,               0.008812,               0.008812,               0.008812
                     14,                 1.2614,                   1.99,                 1.1546,                0.45898,                0.17209,                0.11162,                0.07125,                 1.2508,                 2.1268,                 1.2324,               0.008713,               0.008713,               0.008713
