                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2198,                 3.8208,                 1.1695,                0.61221,                0.03067,                  0.074,                0.05337,                 1.0729,                  3.261,                  1.076,                 0.0704,              0.0032889,              0.0032889
                      1,                 1.2626,                 2.7848,                 1.1724,                 0.4252,                0.20714,                0.09006,                0.06187,                 1.2375,                 2.6485,                 1.1967,               0.040334,              0.0065567,              0.0065567
                      2,                 1.2903,                 2.5984,                 1.1819,                0.26766,                0.18122,                0.07269,                0.04287,                 1.3628,                 2.8078,                 1.2562,               0.010203,              0.0097584,              0.0097584
                      3,                 1.4192,                 2.6333,                 1.2345,                0.28539,                0.16136,                0.07034,                0.04319,                 1.3534,                 3.0873,                 1.2802,               0.009703,               0.009703,               0.009703
                      4,                 1.4046,                 2.5376,                 1.2246,                0.23402,                0.23882,                0.06997,                0.04119,                 1.4396,                 3.3265,                 1.2889,               0.009703,               0.009703,               0.009703
                      5,                 1.3857,                 2.4362,                 1.2068,                0.47237,                0.14582,                0.11115,                0.06776,                 1.3275,                 2.4378,                 1.2477,               0.009604,               0.009604,               0.009604
                      6,                  1.365,                 2.3721,                 1.2112,                0.61764,                0.10848,                0.09225,                0.05865,                 1.3776,                  2.602,                 1.2932,               0.009505,               0.009505,               0.009505
                      7,                 1.3593,                 2.3219,                  1.208,                0.44926,                0.11218,                 0.0902,                0.05956,                 1.4195,                 2.6366,                 1.2776,               0.009406,               0.009406,               0.009406
                      8,                 1.3576,                 2.2712,                 1.2149,                0.45379,                0.16039,                0.12243,                0.07931,                 1.3341,                 2.2087,                 1.2401,               0.009307,               0.009307,               0.009307
                      9,                 1.3237,                 2.2348,                 1.1963,                0.33213,                0.14421,                0.10611,                   0.07,                 1.3183,                 2.2834,                 1.2084,               0.009208,               0.009208,               0.009208
                     10,                 1.3196,                 2.1719,                 1.1985,                0.48834,                0.15071,                0.12236,                0.07725,                 1.2604,                 2.2747,                 1.2156,               0.009109,               0.009109,               0.009109
                     11,                 1.3204,                 2.1363,                 1.1872,                0.29862,                0.13076,                0.08235,                0.05328,                  1.328,                  2.325,                 1.2331,                0.00901,                0.00901,                0.00901
